금융권,금융회사명,주소,연락처,URL
은행,한국카카오은행㈜,경기도 성남시 분당구 판교역로 231 에스동 5층,02-6288-6112,http://www.kakaobank.com
은행,BNP파리바은행,서울특별시 중구 퇴계로 100 스테이트타워 남산 24-25층 ,02-317-1700,http://www.bnpparibas.co.kr/kr/
은행,DBS은행,서울특별시 중구 세종대로 136 서울파이낸스센터 18층,02-6322-2660,http://www.dbs.com/default.page
은행,OCBC,서울특별시 중구 세종대로 136 서울파이낸스센터 25층,02-2021-3900,http://www.ocbc.com/group/group-home.html
은행,경남은행,경상남도 창원시 마산회원구 3·15대로 642,055-290-8000,http://www.knbank.co.kr/
은행,광주은행,광주시 동구 제봉로 225,062-239-5000,http://www.kjbank.com
은행,교통은행,서울특별시 중구 을지로 29 부영을지빌딩 6층,02-2022-6888,http://www.bankcomm.co.kr/
은행,국민은행,서울특별시 영등포구 국제금융로 8길 26,02-2073-7114,https://www.kbstar.com/
은행,노던트러스트컴퍼니 서울지점,"서울특별시 중구 을지로 5길 26, 이스트센터 12층",02-6222-6200,https://www.northerntrust.com
은행,노바스코셔은행,서울특별시 종로구 세종로139 동아미디어센터 16층,02-2020-2340,"http://www.scotiabank.com/global/en/0,,6179,00.html"
은행,농협은행,서울특별시 중구 통일로 120,02-2080-5114,http://banking.nonghyup.com
은행,뉴욕멜론은행,서울특별시 영등포구 국제금융로 10 원아이에프씨 29층,02-6137-0001,https://www.bnymellon.com
은행,대구은행,대구광역시 수성구 달구벌대로 2310,053-755-8760,https://www.dgb.co.kr
은행,대화은행(UOB),서울특별시 중구 세종대로 136 서울파이낸스센터 4층,02-739-3916,http://www.uobgroup.com
은행,도이치은행,"서울특별시 종로구 청계천로 41 영풍빌딩 16,18,19층",02-724-4500,http://www.db.com/korea.index.html
은행,메트로은행,서울특별시 중구 소월로 10 단암빌딩 2층,02-779-2751,http://www.metrobank.com.ph
은행,멜라트은행,"서울특별시 강남구 테헤란로 410 금강타워빌딩 13, 14층",02-2007-6700,http://en.bankmellat.ir/home.aspx
은행,모간스탠리은행,서울특별시 종로구 새문안로 68 흥국생명빌딩 23층,02-399-4848,http://www.morganstanley.com/
은행,미쓰비시도쿄UFJ은행,서울특별시 종로구 청계천로 41 영풍빌딩 4층,02-399-6400,http://www.bk.mufg.jp/english/
은행,미쓰이스미토모은행,서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 서관 12층,02-6364-7000,http://www.smbcgroup.com/
은행,미즈호코퍼레이트은행,서울특별시 중구 세종대로 136 서울 파이낸스센터 19층,02-3782-8500,http://www.mizuhobank.com
은행,바덴뷔르템베르크주립은행서울지점,서울특별시 중구 세종대로 136 서울 파이낸스센터 14층,02-6730-0100,http://www.lbbw.de
은행,뱅크오브아메리카,"서울특별시 중구 세종대로 136 서울 파이낸스센터 27층, 28층",02-788-1401,http://www.bankofamerica.com/
은행,부산은행,부산광역시 남구 문현금융로 30,051-642-3300,http://www.busanbank.co.kr/
은행,소시에테제네랄은행,서울특별시 종로구 종로3길 17 D타워 23층,02-2195-7777,www.sg-structuredproducts.com
은행,수협은행,서울특별시 송파구 오금로 62(신천동 11-6),02-2240-2114,https://www.suhyup-bank.com/
은행,스테이트스트리트은행,서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 서관 31층 ,02-3706-4500,http://www.statestreet.com
은행,신한은행,서울특별시 중구 세종대로9길 20,02-756-0506,http://www.shinhan.com/
은행,아이엔지은행,서울특별시 중구 세종대로 136 서울파이낸스센터 11층,02-317-1800,https://www.ingwb.com/network-offices/asia/south-korea
은행,야마구찌은행,부산광역시 중구 중앙대로 63 4층,051-462-3281,http://yamaguchibank.dga.jp
은행,우리은행,서울특별시 중구 소공로 51,02-2002-3000,http://www.wooribank.com/
은행,웰스파고은행,서울특별시 종로구 종로3길 17 D타워 D1 21층,02-3706-3114,https://www.wellsfargo.com
은행,유바프은행,서울특별시 중구 통일로 92 ACE 타워빌딩 3층,02-3455-5300,http://www.ubaf.fr/PG/Network_Seoul.asp
은행,전북은행,전라북도 전주시 덕진구 백제대로 566,063-250-7114,http://www.jbbank.co.kr/
은행,제이피모건체이스은행,서울특별시 중구 서소문로11길 35,02-758-5500,http://www.jpmorgan.com/
은행,제주은행,제주특별자치도 제주시 오현길 90,064-720-0200,http://www.e-jejubank.com/
은행,중국건설은행,서울시 중구 명동11길 24 중국건설은행타워,02-6730-3600,http://kr.ccb.com/seoul/en/index.html
은행,중국공상은행,"서울특별시 중구 세종대로73 태평로빌딩 1,16,18층",02-755-5688,http://www.icbc.co.kr/
은행,중국농업은행,서울시 중구 세종대로 136 서울파이낸스센터 14층,02-3788-3900,http://www.kr.abchina.com/kr/default.htm
은행,중국은행,서울특별시 서린동 33번지 영풍빌딩 1~3층,02-399-6699,http://www.bank-of-china.com
은행,중소기업은행,서울특별시 중구 을지로 79,02-729-6114,http://www.ibk.co.kr
은행,크레디 아그리콜 코퍼레이트 앤 인베스트먼트 뱅크,서울특별시 종로구 종로 1 교보빌딩 21층,02-3700-9500,http://www.ca-cib.com/
은행,케이뱅크은행,"서울시 종로구 종로1길 50, 비동16층(중학동, 더케이트윈타워)",02-3210-7019,http://www.kbanknow.com
은행,크레디트스위스은행,서울특별시 중구 소공로 109 한화빌딩 14층,02-3707-3800,https://www.credit-suisse.com/kr/ko.html
은행,파키스탄국립은행,서울특별시 종로구 종로 1 교보빌딩 22층,02-732-0277,http://www.sbp.org.pk/
은행,한국산업은행,서울특별시 영등포구 은행로 14,02-787-4000,http://www.kdb.co.kr/
은행,한국스탠다드차타드은행,서울특별시 종로구 종로 47 ,02-3702-3114,http://www.standardchartered.co.kr
